type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30
coal,興達#1(註12),500.0,463.2,,468.3,,465.1,,466.4,,469.5,,465.1,,470.8,,463.8,,460.7,,467.6,
coal,興達#2(註12),500.0,475.9,,470.8,,470.8,,479.0,,473.3,,469.5,,475.9,,471.4,,477.8,,471.4,
coal,興達#3(註12),550.0,516.8,,519.8,,519.8,,519.1,,515.2,,517.5,,517.5,,520.6,,523.7,,519.1,
coal,興達#4(註12),550.0,520.9,,520.9,,520.9,,517.8,,521.7,,514.8,,522.5,,514.8,,519.4,,523.2,
coal,大林#1,800.0,732.0,運轉限制,733.5,運轉限制,732.0,運轉限制,732.0,運轉限制,732.0,運轉限制,732.0,運轉限制,730.4,運轉限制,728.9,運轉限制,732.0,運轉限制,730.4,運轉限制
coal,大林#2,800.0,761.8,,763.4,,763.4,,761.8,,761.8,,761.8,,763.4,,761.8,,763.4,,761.8,
coal,小計,11600.0(23.000%),10269.2(34.090%),,10284.8(34.458%),,10270.7(34.859%),,10052.2(34.216%),,9839.5(33.792%),,9616.5(33.101%),,9438.2(32.708%),,9299.8(32.534%),,9304.9(32.680%),,9251.3(32.530%),
cogen,汽電共生,618.0,833.5,,846.5,,560.5,,850.7,,793.3,,784.8,,907.3,,817.5,,816.9,,905.1,
cogen,小計,618.0(1.225%),833.5(2.767%),,846.5(2.836%),,560.5(1.902%),,850.7(2.896%),,793.3(2.725%),,784.8(2.701%),,907.3(3.144%),,817.5(2.860%),,816.9(2.869%),,905.1(3.183%),
ippcoal,和平#1,648.6,562.9,,570.5,,565.0,,564.8,,562.7,,566.0,,560.0,,568.6,,562.7,,566.7,
ippcoal,和平#2,648.6,558.3,,558.3,,559.6,,572.9,,561.0,,560.1,,565.3,,562.8,,561.4,,558.5,
ippcoal,麥寮#1,600.0,569.6,,571.6,,571.2,,569.3,,570.3,,569.8,,568.1,,569.9,,569.3,,570.3,
ippcoal,麥寮#2,600.0,566.5,,568.4,,566.7,,565.6,,568.4,,567.0,,564.7,,567.7,,569.3,,566.7,
ippcoal,麥寮#3,600.0,574.6,,575.2,,576.4,,573.7,,574.0,,575.5,,573.8,,573.8,,575.6,,574.0,
ippcoal,小計,3097.1(6.141%),2831.9(9.401%),,2844.0(9.528%),,2838.9(9.635%),,2846.3(9.688%),,2836.4(9.741%),,2838.4(9.770%),,2831.9(9.814%),,2842.8(9.945%),,2838.3(9.968%),,2836.2(9.973%),
lng,大潭CC#1,742.7,608.5,,662.3,,652.7,,667.5,,662.1,,680.2,,665.0,,663.5,,658.9,,679.3,
lng,大潭CC#2,742.7,413.6,部分故障,440.4,部分故障,452.2,部分故障,452.1,部分故障,456.4,部分故障,456.9,部分故障,459.0,部分故障,461.9,部分故障,440.5,部分故障,444.5,部分故障
lng,大潭CC#3,724.7,572.0,,644.3,,635.5,,640.4,,638.0,,642.7,,654.4,,647.1,,625.7,,649.2,
lng,大潭CC#4,724.7,650.6,,664.8,,668.7,,671.0,,670.2,,672.1,,673.1,,671.6,,664.3,,668.2,
lng,大潭CC#5,724.7,627.1,,619.5,,643.8,,655.4,,657.0,,665.8,,674.1,,676.9,,674.1,,674.4,
lng,大潭CC#6,724.7,636.3,測試運轉,650.5,測試運轉,649.9,測試運轉,650.3,測試運轉,682.9,測試運轉,686.4,測試運轉,684.5,測試運轉,685.5,測試運轉,686.1,測試運轉,685.9,測試運轉
lng,大潭CC#7,600.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
lng,通霄CC#1,892.6,863.9,,863.8,,866.3,,866.6,,868.7,,864.6,,866.0,,867.1,,862.6,,865.6,
lng,通霄CC#2,892.6,864.7,,861.6,,862.6,,864.1,,864.1,,863.2,,864.1,,864.1,,862.1,,862.1,
lng,通霄CC#3,892.6,852.2,,852.1,,859.6,,860.9,,866.3,,857.3,,861.2,,862.8,,852.2,,854.2,
lng,通霄CC#4,386.0,319.6,,313.0,,361.0,,357.3,,338.6,,300.5,,300.9,,301.3,,301.3,,301.3,
lng,通霄CC#5,386.0,211.4,,212.6,,211.8,,210.7,,205.0,,204.9,部分檢修,204.9,部分檢修,204.2,部分檢修,204.1,部分檢修,204.9,部分檢修
lng,通霄CC#6,321.2,289.3,,332.6,,330.2,,333.9,,338.8,,336.8,,340.4,,343.0,,328.3,,340.0,
lng,興達CC#1,445.2,325.7,,330.8,,331.3,,353.2,,330.7,,341.2,,347.0,,331.8,,332.2,,346.1,
lng,興達CC#2,445.2,327.0,,333.5,,331.5,,340.5,,349.5,,359.9,,354.1,,348.8,,341.1,,354.5,
lng,興達CC#3,445.2,341.4,,344.5,,343.6,,343.8,,347.2,,345.1,,346.3,,344.6,,346.4,,342.1,
lng,興達CC#4,445.2,323.9,,336.9,,376.4,,373.3,,361.2,,383.4,,377.2,,357.2,,355.2,,373.6,
lng,興達CC#5,445.2,324.1,,329.6,,357.5,,375.7,,336.7,,390.6,,390.0,,352.6,,366.3,,365.7,
lng,南部CC#1,288.8,218.6,,218.0,,223.9,,237.1,,236.8,,237.4,,236.3,,238.5,,235.4,,232.4,
lng,南部CC#2,288.8,193.6,,197.8,,196.0,,204.0,,204.0,,217.2,,212.5,,206.8,,205.2,,208.6,
lng,南部CC#3,288.8,225.0,,226.6,,227.1,,225.6,,227.4,,227.0,,227.7,,227.0,,228.8,,225.4,
lng,南部CC#4,251.4,207.6,,232.4,,224.9,,226.6,,232.0,,233.2,,230.7,,230.3,,225.8,,231.1,
lng,大林#5,500.0,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障
lng,大林#6,550.0,218.7,,219.4,,218.7,,218.7,,218.7,,217.9,,218.7,,218.7,,218.7,,219.4,
lng,小計,13149.0(26.072%),9614.8(31.917%),,9887.0(33.125%),,10025.2(34.026%),,10128.7(34.476%),,10092.3(34.660%),,10184.3(35.055%),,10188.1(35.306%),,10105.3(35.351%),,10015.3(35.175%),,10128.5(35.614%),
ipplng,海湖#1,450.0,395.4,,219.6,,20.4,,0.0,,0.0,,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制
ipplng,海湖#2,450.0,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制
ipplng,新桃#1,600.0,600.2,,108.8,,0.0,,0.0,,0.0,,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制
ipplng,國光#1,480.0,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制
ipplng,星彰#1,506.9,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制
ipplng,星元#1,490.0,258.9,部分故障,256.8,部分故障,256.2,部分故障,256.5,部分故障,256.5,部分故障,255.9,部分故障,255.9,部分故障,255.9,部分故障,255.3,部分故障,255.3,部分故障
ipplng,嘉惠#1,670.0,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制
ipplng,嘉惠#2(註10),-,505.2,,502.7,,502.1,,504.0,,504.4,,504.1,,502.6,,503.9,,503.4,,504.7,
ipplng,豐德#1,506.9,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制,0.0,合約限制
ipplng,豐德#2,506.9,447.1,,445.8,,447.3,,446.5,,446.4,,446.7,,445.5,,446.3,,445.7,,446.9,
ipplng,小計,4660.6(9.241%),2206.8(7.326%),,1533.7(5.138%),,1226.0(4.161%),,1207.0(4.108%),,1207.3(4.146%),,1206.7(4.154%),,1204.0(4.172%),,1206.1(4.219%),,1204.4(4.230%),,1206.9(4.244%),
oil,協和#3,500.0,137.3,環保限制,136.7,環保限制,138.6,環保限制,136.7,環保限制,136.0,環保限制,136.7,環保限制,136.7,環保限制,136.7,環保限制,138.0,環保限制,136.7,環保限制
oil,協和#4,500.0,137.2,環保限制,136.6,環保限制,137.2,環保限制,137.8,環保限制,137.2,環保限制,136.6,環保限制,136.6,環保限制,137.2,環保限制,136.6,環保限制,136.6,環保限制
oil,小計,1000.0(1.983%),274.5(0.911%),,273.3(0.916%),,275.8(0.936%),,274.5(0.934%),,273.2(0.938%),,273.3(0.941%),,273.3(0.947%),,273.9(0.958%),,274.6(0.964%),,273.3(0.961%),
diesel,核二Gas1,-,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
diesel,核二Gas2,-,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
diesel,核三Gas1,-,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
diesel,核三Gas2,-,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
diesel,台中Gas1&amp;2,140.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
diesel,台中Gas3&amp;4,140.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
diesel,澎湖尖山(註4),129.8,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
diesel,金門塔山(註4),113.3,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
diesel,馬祖珠山(註4),28.6,8.7,,8.7,,8.5,,8.5,,8.5,,8.4,,8.2,,8.2,,8.0,,7.9,
diesel,離島其他(註4),42.7,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
diesel,小計(註5),594.4(1.179%),8.7(0.029%),,8.7(0.029%),,8.5(0.029%),,8.5(0.029%),,8.5(0.029%),,8.4(0.029%),,8.2(0.028%),,8.2(0.029%),,8.0(0.028%),,7.9(0.028%),
hydro,德基#1,78.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,德基#2,78.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,德基#3,78.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,青山#1,92.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,青山#2,92.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,青山#3,92.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,青山#4,92.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,谷關#1,54.4,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,谷關#2,54.4,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,谷關#3,54.4,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,谷關#4,54.4,18.1,,21.5,,17.0,,19.5,,18.6,,16.3,,17.5,,17.8,,17.7,,17.6,
hydro,天輪#1,22.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,天輪#2,22.5,12.2,,12.2,,12.2,,12.2,,12.4,,12.2,,12.2,,12.2,,12.2,,12.2,
hydro,天輪#3,22.5,11.9,,11.8,,11.9,,11.9,,11.9,,11.9,,11.9,,11.9,,11.8,,11.9,
hydro,天輪#4,22.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,天輪#5,105.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,馬鞍#1,66.7,18.3,,20.3,,20.6,,19.5,,20.3,,20.3,,19.8,,20.3,,19.7,,18.8,
hydro,馬鞍#2,66.7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,卓蘭#1,40.0,32.6,,32.5,,32.5,,32.4,,30.5,,30.4,,30.6,,30.3,,30.5,,30.4,
hydro,卓蘭#2,40.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,萬大#1,10.4,10.0,,10.0,,10.1,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,
hydro,萬大#2,10.4,10.0,,10.1,,10.1,,10.0,,10.1,,10.0,,10.1,,10.0,,10.1,,10.0,
hydro,萬大#3,15.3,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,萬大#4,19.7,20.2,,20.1,,20.1,,20.2,,20.3,,20.0,,20.1,,20.0,,20.1,,20.0,
hydro,松林#1&amp;2,20.9,18.6,,17.5,,16.4,,17.0,,17.5,,16.6,,16.8,,17.5,,15.7,,17.4,
hydro,大觀一#1,22.0,0.0,,10.2,,10.2,,9.7,,11.3,,11.3,,11.4,,11.4,,11.4,,11.3,
hydro,大觀一#2,22.0,0.0,,10.0,,10.0,,10.0,,11.1,,11.1,,11.1,,11.1,,11.1,,11.0,
hydro,大觀一#3,22.0,0.0,,10.3,,10.5,,9.9,,11.1,,11.1,,11.1,,11.1,,11.1,,10.9,
hydro,大觀一#4,22.0,0.0,,10.0,,10.1,,10.1,,10.8,,10.8,,10.9,,10.9,,10.8,,10.8,
hydro,大觀一#5,22.0,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修
hydro,鉅工#1,21.8,0.0,歲修,0.0,歲修,0.0,歲修,0.0,歲修,0.0,歲修,0.0,歲修,0.0,歲修,0.0,歲修,0.0,歲修,0.0,歲修
hydro,鉅工#2,21.8,20.6,,18.5,,16.4,,19.4,,20.4,,21.2,,21.8,,22.0,,22.0,,22.0,
hydro,水里#1,12.8,10.2,,10.5,,10.5,,10.6,,10.7,,10.7,,10.8,,10.9,,11.0,,11.0,
hydro,立霧#1&amp;#2,32.0,8.0,部分檢修,8.0,部分檢修,8.0,部分檢修,8.0,部分檢修,8.0,部分檢修,8.0,部分檢修,8.0,部分檢修,8.0,部分檢修,8.0,部分檢修,8.0,部分檢修
hydro,龍澗#1,48.6,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,龍澗#2,48.6,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,
hydro,碧海,61.2,30.4,,30.8,,30.4,,30.4,,30.5,,30.4,,30.4,,30.4,,30.4,,30.3,
hydro,烏來&amp;桂山&amp;粗坑,40.5,15.7,,15.6,,15.6,,15.8,,15.8,,15.8,,15.8,,15.8,,16.0,,16.0,
hydro,北部小水力(註6),26.6,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
hydro,中部小水力(註6),9.8,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
hydro,南部小水力(註6),7.2,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
hydro,東部小水力(註6),54.6,22.0,,22.0,,22.0,,22.0,,22.0,,22.0,,22.0,,22.0,,22.0,,22.0,
hydro,翡翠#1,70.0,71.1,,70.7,,70.5,,70.5,,70.7,,70.7,,70.3,,70.5,,70.4,,70.2,
hydro,石門#1,45.0,25.0,,26.2,,25.6,,25.5,,25.4,,25.7,,25.2,,25.7,,25.3,,24.6,
hydro,石門#2,45.0,30.4,,30.5,,30.4,,31.0,,30.7,,30.5,,30.2,,30.7,,31.3,,29.3,
hydro,曾文#1,50.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,義興#1,40.0,12.1,,12.1,,12.1,,12.1,,12.1,,12.1,,12.0,,12.1,,12.0,,12.2,
hydro,名間,16.7,10.9,,10.9,,10.9,,10.9,,10.3,,10.7,,10.8,,10.9,,10.9,,10.7,
hydro,嘉南西口、烏山頭和八田,22.5,4.5,,4.5,,4.5,,4.7,,4.7,,4.4,,4.4,,4.6,,4.6,,4.6,
hydro,后里示範,0.1,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
hydro,卑南,2.0,0.7,,0.7,,0.7,,0.7,,0.7,,0.7,,0.7,,0.7,,0.7,,0.7,
hydro,捷祥關山,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
hydro,小計,2092.5(4.149%),445.3(1.478%),,489.3(1.639%),,481.1(1.633%),,485.8(1.654%),,489.7(1.682%),,486.7(1.675%),,487.7(1.690%),,490.6(1.716%),,488.6(1.716%),,485.7(1.708%),
wind,石門,4.0,0.1,,0.2,,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
wind,林口,6.0,0.6,,0.3,,0.2,,0.1,,0.1,,0.6,,0.0,,0.1,,0.2,,0.1,
wind,蘆竹,7.2,1.1,,0.9,,0.6,,0.5,,0.3,,1.3,,0.4,,0.2,,0.1,,0.3,
wind,大潭,15.1,2.4,,2.0,,2.7,,1.9,,1.5,,0.9,,0.9,,0.8,,1.2,,1.1,
wind,觀園,30.0,5.0,,5.7,,5.9,,4.9,,2.6,,3.7,,2.4,,2.0,,3.3,,3.2,
wind,香山,12.0,0.5,,0.5,,0.7,,0.2,,0.0,,0.2,,0.0,,0.0,,0.0,,0.0,
wind,台中,6.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
wind,台中港,36.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
wind,王功,23.0,1.1,,1.1,,0.5,,0.5,,0.3,,0.2,,0.2,,0.3,,0.6,,0.6,
wind,彰工,71.2,0.8,,0.7,,0.7,,0.5,,0.4,,0.1,,0.4,,0.6,,0.7,,1.5,
wind,永興,9.2,0.5,,0.5,,0.6,,0.4,,0.1,,0.1,,0.1,,0.0,,0.2,,0.2,
wind,離岸一期(註10),-,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
wind,雲麥,46.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
wind,四湖,28.0,0.5,,0.8,,0.3,,0.3,,0.4,,0.4,,0.6,,1.0,,1.4,,1.1,
wind,恆春,4.5,0.2,,0.1,,0.3,,0.2,,0.2,,0.1,,0.0,,0.5,,0.1,,0.2,
wind,澎湖中屯,4.8,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,
wind,金門金沙,4.0,0.4,,0.5,,0.8,,0.8,,0.7,,0.7,,0.5,,0.6,,0.6,,0.5,
wind,澎湖湖西,5.4,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,
wind,苗栗竹南,7.8,0.3,,0.4,,0.4,,0.2,,0.4,,0.2,,0.2,,0.1,,0.1,,0.2,
wind,苗栗大鵬,42.0,2.6,,1.9,,2.9,,2.5,,1.4,,1.3,,1.1,,1.6,,2.4,,2.4,
wind,鹿威彰濱,55.2,0.6,,0.6,,0.6,,0.6,,0.6,,0.6,,0.6,,0.8,,0.8,,0.8,
wind,鹿威鹿港,41.4,0.6,,0.6,,0.8,,0.8,,0.6,,0.6,,0.6,,0.6,,0.6,,0.6,
wind,觀威觀音&amp;桃威新屋,48.3,8.8,,5.4,,6.5,,5.0,,4.1,,3.5,,2.9,,2.8,,4.2,,7.5,
wind,中威大安,75.9,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
wind,崎威崎頂,6.9,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
wind,豐威,11.5,1.2,,0.9,,0.8,,1.0,,0.8,,0.7,,0.8,,0.9,,0.4,,0.4,
wind,龍威後龍,44.1,0.9,,1.0,,0.6,,0.6,,0.4,,0.4,,0.4,,0.5,,0.7,,0.7,
wind,苗栗通苑,39.1,0.0,,0.0,,0.0,,0.1,,0.1,,0.6,,1.2,,1.0,,0.8,,0.8,
wind,安威,11.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
wind,清風清水,2.3,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
wind,東鋼龍港,11.5,0.8,,0.5,,0.7,,0.1,,0.3,,0.1,,0.5,,1.0,,0.9,,1.1,
wind,海洋竹南,128.0,5.0,部分檢修,11.8,部分檢修,34.4,部分檢修,40.7,部分檢修,48.9,部分檢修,55.0,部分檢修,50.4,部分檢修,46.6,部分檢修,29.0,部分檢修,27.3,部分檢修
wind,禾風麥寮,2.3,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
wind,小計,840.2(1.666%),34.5(0.114%),,36.7(0.123%),,61.4(0.208%),,62.2(0.212%),,64.5(0.221%),,71.6(0.246%),,64.5(0.223%),,62.3(0.218%),,48.6(0.171%),,50.9(0.179%),
solar,金門金沙,0.5,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,台中生水池,2.1,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,興達生水池,1.6,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,嘉義民雄,0.1,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,中部儲運,0.1,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,東勢新伯公,0.1,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,永安鹽灘地,4.6,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,路北,0.1,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,中原大學,0.0,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,大潭生水池,0.6,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,核三生水池,1.5,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,七美,0.4,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,尖山,0.1,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,卓蘭,0.0,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,后里,0.1,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,台中龍井,6.5,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,七股,1.8,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,龍潭E/S,0.2,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,竹工E/S,0.2,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,中科E/S,0.2,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,彰林E/S,0.3,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
solar,高雄E/S,0.4,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,
